player_id,position_matches,matches_matches,wins_matches,losses_matches,wl_ratio_matches,ties_matches,kills_matches,deaths_matches,killstreak_matches,damage_dealt_matches,arrows_shot_matches,arrows_hit_matches,wools_matches,wools_touched_matches,flags_matches,flags_picked_matches,cores_matches,monuments_matches,position_pvp,matches_pvp,wins_pvp,losses_pvp,wl_ratio_pvp,ties_pvp,kills_pvp,deaths_pvp,killstreak_pvp,damage_dealt_pvp,arrows_shot_pvp,arrows_hit_pvp,wools_pvp,wools_touched_pvp,flags_pvp,flags_picked_pvp,cores_pvp,monuments_pvp,position_objectives,matches_objectives,wins_objectives,losses_objectives,wl_ratio_objectives,ties_objectives,kills_objectives,deaths_objectives,killstreak_objectives,damage_dealt_objectives,arrows_shot_objectives,arrows_hit_objectives,wools_objectives,wools_touched_objectives,flags_objectives,flags_picked_objectives,cores_objectives,monuments_objectives
player_d6a1348e4db2,#1,27737.0,10628.0,17103.0,0.62,6.0,,,,,,,,,,,,,#389,,,,,,13346.0,208924.0,39.0,7.0,35793.0,24822.0,,,,,,,#29,,,,,,,,,,,,770.0,4480.0,611.0,1909.0,249.0,844.0
player_cafecb0f80e7,#2,19327.0,9978.0,9330.0,1.07,19.0,,,,,,,,,,,,,#19,,,,,,71716.0,102246.0,47.0,46.5,250558.0,95211.0,,,,,,,#6,,,,,,,,,,,,1966.0,6205.0,787.0,1856.0,611.0,1441.0
player_93a90542cb77,#3,16934.0,6803.0,10126.0,0.67,5.0,,,,,,,,,,,,,#168,,,,,,26598.0,62109.0,100.0,19.0,136340.0,44305.0,,,,,,,#104,,,,,,,,,,,,390.0,1652.0,262.0,793.0,63.0,318.0
player_1a18a74e7e74,#4,16841.0,7423.0,9376.0,0.79,42.0,,,,,,,,,,,,,#97,,,,,,37136.0,63716.0,29.0,41.5,388435.0,75328.0,,,,,,,#99,,,,,,,,,,,,402.0,1734.0,783.0,1639.0,182.0,504.0
player_910764e5a178,#5,16757.0,10138.0,6606.0,1.53,13.0,,,,,,,,,,,,,#11,,,,,,88262.0,79202.0,80.0,66.0,746287.0,200712.0,,,,,,,#8,,,,,,,,,,,,1739.0,4832.0,1114.0,2601.0,248.0,1018.0
player_166e579b149f,#6,16215.0,8879.0,7333.0,1.21,3.0,,,,,,,,,,,,,#2,,,,,,153854.0,98974.0,63.0,160.0,999757.0,476548.0,,,,,,,#13,,,,,,,,,,,,1288.0,3862.0,643.0,1463.0,302.0,862.0
player_c7065bdd7ffe,#7,15865.0,7105.0,8756.0,0.81,4.0,,,,,,,,,,,,,#163,,,,,,27576.0,60007.0,45.0,29.0,152874.0,76775.0,,,,,,,#81,,,,,,,,,,,,458.0,2689.0,458.0,2401.0,208.0,1339.0
player_64f3fc9bf409,#8,15807.0,9272.0,6532.0,1.42,3.0,,,,,,,,,,,,,#6,,,,,,105979.0,73320.0,157.0,82.5,325411.0,156929.0,,,,,,,#2,,,,,,,,,,,,3005.0,7260.0,543.0,1330.0,754.0,2203.0
player_8cbc07752f34,#9,14925.0,7068.0,7844.0,0.9,13.0,,,,,,,,,,,,,#4,,,,,,106417.0,125867.0,53.0,91.0,807073.0,239413.0,,,,,,,#50,,,,,,,,,,,,622.0,2381.0,451.0,1588.0,196.0,580.0
player_3850dda7b913,#10,14214.0,6841.0,7368.0,0.93,5.0,,,,,,,,,,,,,#33,,,,,,61013.0,75958.0,99.0,39.5,300569.0,165931.0,,,,,,,#56,,,,,,,,,,,,569.0,2080.0,613.0,1343.0,77.0,246.0
player_c82cbd8215d7,#11,14198.0,9953.0,4242.0,2.35,3.0,,,,,,,,,,,,,#3,,,,,,133982.0,60398.0,64.0,123.0,437974.0,398189.0,,,,,,,#3,,,,,,,,,,,,2770.0,6000.0,891.0,2023.0,730.0,2114.0
player_7544568392f2,#12,13706.0,7384.0,6317.0,1.17,5.0,,,,,,,,,,,,,#7,,,,,,101617.0,66732.0,71.0,80.5,402671.0,214566.0,,,,,,,#19,,,,,,,,,,,,935.0,3806.0,688.0,1853.0,295.0,1011.0
player_7ffb0a27dd01,#13,13051.0,6360.0,6681.0,0.95,10.0,,,,,,,,,,,,,#23,,,,,,68580.0,69906.0,120.0,85.0,203512.0,93164.0,,,,,,,#47,,,,,,,,,,,,631.0,2477.0,360.0,1006.0,125.0,1042.0
player_5dd91cbb8910,#14,12859.0,6050.0,6804.0,0.89,5.0,,,,,,,,,,,,,#75,,,,,,43757.0,80424.0,39.0,56.0,208568.0,76814.0,,,,,,,#68,,,,,,,,,,,,534.0,1824.0,353.0,1111.0,100.0,726.0
player_26d584629d48,#15,12858.0,7914.0,4942.0,1.6,2.0,,,,,,,,,,,,,#1,,,,,,161437.0,91769.0,72.0,137.0,405286.0,141253.0,,,,,,,#15,,,,,,,,,,,,1200.0,4261.0,565.0,1424.0,169.0,691.0
player_ceee959e9253,#17,12832.0,7280.0,5541.0,1.31,11.0,,,,,,,,,,,,,#5,,,,,,106063.0,70075.0,132.0,82.5,242203.0,129530.0,,,,,,,#4,,,,,,,,,,,,2263.0,6048.0,697.0,1553.0,237.0,712.0
player_eb6c309a891f,#18,12787.0,6098.0,6688.0,0.91,1.0,,,,,,,,,,,,,#120,,,,,,33705.0,72865.0,19.0,32.5,121930.0,52220.0,,,,,,,#17,,,,,,,,,,,,1065.0,3739.0,1270.0,3533.0,167.0,752.0
player_185f7e8ecf2a,#19,12775.0,5132.0,7639.0,0.67,4.0,,,,,,,,,,,,,#312,,,,,,15958.0,69181.0,33.0,14.0,70830.0,30788.0,,,,,,,#74,,,,,,,,,,,,498.0,2401.0,300.0,995.0,233.0,988.0
player_b7c14a56831c,#20,12015.0,5103.0,6908.0,0.74,4.0,,,,,,,,,,,,,#174,,,,,,26094.0,63253.0,31.0,28.0,66540.0,32162.0,,,,,,,#31,,,,,,,,,,,,755.0,3157.0,255.0,691.0,276.0,612.0
player_b0a60b67531d,#21,11980.0,5935.0,6039.0,0.98,6.0,,,,,,,,,,,,,#39,,,,,,55576.0,62332.0,64.0,91.5,172183.0,70305.0,,,,,,,#66,,,,,,,,,,,,544.0,1730.0,331.0,675.0,123.0,811.0
player_98b674002add,#22,11657.0,5039.0,6616.0,0.76,2.0,,,,,,,,,,,,,#288,,,,,,16896.0,42623.0,28.0,24.5,435901.0,93954.0,,,,,,,#614,,,,,,,,,,,,60.0,525.0,45.0,204.0,12.0,89.0
player_6a4be3fc5335,#23,11253.0,6633.0,4606.0,1.44,14.0,,,,,,,,,,,,,#20,,,,,,70870.0,62833.0,52.0,90.0,297869.0,175014.0,,,,,,,#11,,,,,,,,,,,,1560.0,4578.0,788.0,1705.0,376.0,1189.0
player_782790777c80,#24,11224.0,4823.0,6383.0,0.76,18.0,,,,,,,,,,,,,#200,,,,,,23117.0,70210.0,23.0,28.5,164189.0,45256.0,,,,,,,#169,,,,,,,,,,,,263.0,1182.0,759.0,2126.0,108.0,540.0
player_b41743da629f,#25,11178.0,7452.0,3725.0,2.0,1.0,,,,,,,,,,,,,#22,,,,,,70165.0,59053.0,60.0,70.0,308232.0,118169.0,,,,,,,#38,,,,,,,,,,,,692.0,2526.0,856.0,2261.0,154.0,887.0
player_0ddd164a6f8e,#26,11124.0,5147.0,5971.0,0.86,6.0,,,,,,,,,,,,,#78,,,,,,43448.0,54293.0,121.0,39.5,121451.0,52915.0,,,,,,,#21,,,,,,,,,,,,851.0,3351.0,219.0,603.0,129.0,577.0
